Location,Analyte,numInflow
6_CACTA002,Phorphorus,1
6_CACTA002,TSS,1
6_CACTA002,Copper,1
6_AZMCA005,Phorphorus,1
1708200120_CO,TSS,1
1708200120_CO,Copper,1
-1242007014_CO,Phorphorus,1
-1242007014_CO,TSS,1
-1242007014_CO,Copper,1
1980780486_CA,TSS,2
1980780486_CA,Copper,2
919103477_CA,Phorphorus,1
919103477_CA,TSS,1
459063142_WI_proprietary,Phorphorus,1
459063142_WI_proprietary,TSS,1
459063142_WI_proprietary,Copper,1
973713662_ZZ,TSS,3
1671569331_MN,Phorphorus,1
1671569331_MN,TSS,1
-986553804_PA,Copper,1
1601357644_FL,Phorphorus,1
1601357644_FL,TSS,1
-1290174122_FL,Phorphorus,1
-1290174122_FL,TSS,1
-1693589722_FL,Phorphorus,3
-1693589722_FL,TSS,3
920048328_VA,Phorphorus,4
920048328_VA,TSS,4
2011981340_NC,Phorphorus,1
2011981340_NC,TSS,1
1376313964_MD,Phorphorus,3
1376313964_MD,TSS,3
